file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,FooType/1[java.lang.String],description,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,overloadMethod/1[java.lang.String],s,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,overloadMethod/1[boolean],b,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,setDescription/1[java.lang.String],description,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,overloadMethod/1[int],i,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,"overloadMethod/3[java.lang.String,java.lang.Boolean,int]",b,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,"overloadMethod/3[java.lang.String,java.lang.Boolean,int]",s,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,"overloadMethod/3[java.lang.String,java.lang.Boolean,int]",i,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/JavaParser.java,com.puppycrawl.tools.checkstyle.JavaParser$Anonymous1,reportError/1[com.puppycrawl.tools.checkstyle.RecognitionException],ex,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/emptyforinitializerpad/SuppressionXpathRegressionEmptyForInitializerPadPreceded.java,org.checkstyle.suppressionxpathfilter.emptyforinitializerpad.SuppressionXpathRegressionEmptyForInitializerPadPreceded,"method/2[int,int]",bad,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/emptyforinitializerpad/SuppressionXpathRegressionEmptyForInitializerPadPreceded.java,org.checkstyle.suppressionxpathfilter.emptyforinitializerpad.SuppressionXpathRegressionEmptyForInitializerPadPreceded,"method/2[int,int]",good,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule462horizontalwhitespace/InputWhitespaceAroundGenerics.java,com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.Wildcard,foo2/1[java.util.Collection<? extends com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.Wildcard[]>],collection,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule462horizontalwhitespace/InputWhitespaceAroundGenerics.java,com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.Wildcard,foo/1[java.util.Collection<? extends com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.Wildcard[]>],collection,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter5naming/rule528typevariablenames/InputMethodTypeParameterName.java,com.google.checkstyle.test.chapter5naming.rule528typevariablenames.InputMethodTypeParameterName,foo/1[int],i,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,visitToken/1[com.puppycrawl.tools.checkstyle.checks.modifier.DetailAST],ast,7
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processMethod/1[com.puppycrawl.tools.checkstyle.checks.modifier.DetailAST],ast,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processMethod/1[com.puppycrawl.tools.checkstyle.checks.modifier.DetailAST],modifiers,6
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedAbstractMethod/1[boolean],violateImpliedAbstractMethod,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedPublicNested/1[boolean],violateImpliedPublicNested,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedPublicMethod/1[boolean],violateImpliedPublicMethod,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processNestedType/1[com.puppycrawl.tools.checkstyle.checks.modifier.DetailAST],ast,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processNestedType/1[com.puppycrawl.tools.checkstyle.checks.modifier.DetailAST],modifiers,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedPublicField/1[boolean],violateImpliedPublicField,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedFinalField/1[boolean],violateImpliedFinalField,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedStaticField/1[boolean],violateImpliedStaticField,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,setViolateImpliedStaticNested/1[boolean],violateImpliedStaticNested,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processField/1[com.puppycrawl.tools.checkstyle.checks.modifier.DetailAST],ast,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,processField/1[com.puppycrawl.tools.checkstyle.checks.modifier.DetailAST],modifiers,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,testTwo/0,expectedViolation,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,testTwo/0,moduleConfig,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,testTwo/0,expectedXpathQueries,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,testTwo/0,fileToProcess,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,testOne/0,expectedViolation,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,testOne/0,moduleConfig,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,testOne/0,expectedXpathQueries,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,testOne/0,fileToProcess,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,openFileButton,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,modesLabel,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,modesCombobox,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,mainPanel,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,buttonPanel,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,reloadFileButton,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,modesPanel,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,leftIndentation,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createButtonsPanel/0,event,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,openFile/1[java.io.File],ex,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,openFile/1[java.io.File],sourceFile,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createXpathButtonsPanel/0,mainPanel,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createXpathButtonsPanel/0,findNodeButton,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createXpathButtonsPanel/0,xpathButtonsPanel,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createXpathButtonsPanel/0,expandButton,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createContent/0,splitPane,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createContent/0,treeTableScrollPane,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createContent/0,textAreaScrollPane,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createContent/0,textAreaPanel,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createContent/0,xpathAreaPanel,5
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,createContent/0,title,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/indentation/SuppressionXpathRegressionIndentationLambdaTest1.java,org.checkstyle.suppressionxpathfilter.indentation.MyLambda,myMethod/1[int],a,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,"getAllTokensOfType/2[com.puppycrawl.tools.checkstyle.api.DetailAST,int]",result,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,"getAllTokensOfType/2[com.puppycrawl.tools.checkstyle.api.DetailAST,int]",stack,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,"getAllTokensOfType/2[com.puppycrawl.tools.checkstyle.api.DetailAST,int]",ast,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,"getAllTokensOfType/2[com.puppycrawl.tools.checkstyle.api.DetailAST,int]",vertex,10
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,"getAllTokensOfType/2[com.puppycrawl.tools.checkstyle.api.DetailAST,int]",tokenType,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,beginTree/1[com.puppycrawl.tools.checkstyle.api.DetailAST],rootAST,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,processModifiers/1[com.puppycrawl.tools.checkstyle.api.DetailAST],ast,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,processModifiers/1[com.puppycrawl.tools.checkstyle.api.DetailAST],isStateValid,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,processModifiers/1[com.puppycrawl.tools.checkstyle.api.DetailAST],state,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,visitToken/1[com.puppycrawl.tools.checkstyle.api.DetailAST],ast,7
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,visitToken/1[com.puppycrawl.tools.checkstyle.api.DetailAST],state,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,visitToken/1[com.puppycrawl.tools.checkstyle.api.DetailAST],fieldDef,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,visitToken/1[com.puppycrawl.tools.checkstyle.api.DetailAST],parentType,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,setIgnoreConstructors/1[boolean],ignoreConstructors,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,"processModifiersState/2[com.puppycrawl.tools.checkstyle.api.DetailAST,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck.ScopeState]",modifierAst,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,"processModifiersState/2[com.puppycrawl.tools.checkstyle.api.DetailAST,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck.ScopeState]",isStateValid,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,"processModifiersState/2[com.puppycrawl.tools.checkstyle.api.DetailAST,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck.ScopeState]",state,7
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,setIgnoreModifiers/1[boolean],ignoreModifiers,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,processConstructor/1[com.puppycrawl.tools.checkstyle.api.DetailAST],ast,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,processConstructor/1[com.puppycrawl.tools.checkstyle.api.DetailAST],state,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,isForwardReference/1[com.puppycrawl.tools.checkstyle.api.DetailAST],exprIdents,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,isForwardReference/1[com.puppycrawl.tools.checkstyle.api.DetailAST],forwardReference,2
