file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/rule3421overloadsplit/InputOverloadMethodsDeclarationOrder.java,com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit.FooType,enum,0,0,0,0,8,1,0,0,22,0.625,0.04761905,0.04761905,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,21,1,0,0,0,0,3,0,2,0,1,0,0,0,0,18,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/JavaParser.java,com.puppycrawl.tools.checkstyle.JavaParser$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/emptyforinitializerpad/SuppressionXpathRegressionEmptyForInitializerPadPreceded.java,org.checkstyle.suppressionxpathfilter.emptyforinitializerpad.SuppressionXpathRegressionEmptyForInitializerPadPreceded,class,0,0,0,0,3,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0,0,1,0,0,0,11,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule462horizontalwhitespace/InputWhitespaceAroundGenerics.java,com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.Wildcard,class,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter5naming/rule528typevariablenames/InputMethodTypeParameterName.java,com.google.checkstyle.test.chapter5naming.rule528typevariablenames.InputMethodTypeParameterName,class,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/modifier/InterfaceMemberImpliedModifierCheck.java,com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheck,class,5,7,2,5,39,2,0,10,71,0.85714275,0.0,0.0,14,0,11,3,0,0,11,0,0,0,12,5,1,11,0,0,5,0,0,93,3,0,11,0,0,5,0,22,0,15,2,0,0,0,218,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionMultipleVariableDeclarationsTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionMultipleVariableDeclarationsTest,class,6,6,0,6,3,5,0,6,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,4,20,1,0,0,0,0,40,0,9,14,9,0,0,0,0,37,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/gui/MainFrame.java,com.puppycrawl.tools.checkstyle.gui.MainFrame,class,8,12,4,8,6,11,0,36,4,0.6666667,0.0,0.0,5,0,2,3,0,0,2,0,0,0,6,1,0,6,0,0,3,0,4,135,2,0,0,1,0,7,13,24,0,25,1,0,5,1,97,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/indentation/SuppressionXpathRegressionIndentationLambdaTest1.java,org.checkstyle.suppressionxpathfilter.indentation.MyLambda,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,class,8,9,1,8,47,4,0,27,59,0.875,0.10714286,0.10714286,14,1,8,6,0,0,8,0,0,0,12,8,4,8,0,0,8,0,3,159,6,3,11,0,0,4,5,37,0,26,3,0,1,0,225,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources-noncompilable/com/google/checkstyle/test/chapter5naming/rule527localvariablenames/InputPatternVariableNameEnhancedInstanceofTestDefault.java,com.google.checkstyle.test.chapter5naming.rule527localvariablenames.InputPatternVariableNameEnhancedInstanceofTestDefault,class,1,1,0,1,20,1,0,8,1,0.5,0.0,0.0,2,1,1,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,1,56,1,4,0,0,12,4,5,9,0,9,2,0,1,1,38,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/indentation/YieldHandler.java,com.puppycrawl.tools.checkstyle.checks.indentation.YieldHandler,class,5,7,2,5,6,2,0,10,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,3,0,3,1,0,0,0,46,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/imports/PkgImportRule.java,com.puppycrawl.tools.checkstyle.checks.imports.PkgImportRule,class,2,3,1,2,7,2,0,6,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,25,1,0,1,0,0,3,2,6,4,3,2,0,0,0,50,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionAbstractClassNameTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionAbstractClassNameTest,class,6,6,0,6,4,5,0,6,6,0.75,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,6,27,1,0,0,0,0,31,0,13,11,13,0,0,0,0,46,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/ConfigurationLoader.java,com.puppycrawl.tools.checkstyle.ConfigurationLoader,class,12,17,5,12,26,2,0,28,11,0.8701299,1.0,1.0,11,9,6,5,0,0,6,0,0,0,21,15,0,21,0,0,20,0,9,219,9,2,9,1,0,18,14,42,11,38,4,0,2,0,253,17,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule451wheretobreak/InputSeparatorWrap.java,com.google.checkstyle.test.chapter4formatting.rule451wheretobreak.InputSeparatorWrap,class,1,2,1,1,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,1,2,0,2,0,0,0,0,8,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/anoninnerlength/SuppressionXpathRegressionAnonInnerLengthDefault.java,org.checkstyle.suppressionxpathfilter.anoninnerlength.SuppressionXpathRegressionAnonInnerLengthDefault,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,1,0,1,0,0,10,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/needbraces/SuppressionXpathRegressionNeedBracesEmptyLoopBody.java,org.checkstyle.suppressionxpathfilter.needbraces.SuppressionXpathRegressionNeedBracesEmptyLoopBody,class,1,2,1,1,3,1,0,1,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,2,0,0,0,1,0,0,0,11,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/com/google/checkstyle/test/chapter4formatting/rule412nonemptyblocks/LeftCurlyTest.java,com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks.LeftCurlyTest,class,5,5,0,5,4,4,0,5,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,30,26,1,0,0,0,0,61,27,12,27,12,0,0,0,0,32,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources-noncompilable/com/google/checkstyle/test/chapter5naming/rule528typevariablenames/InputRecordTypeParameterName.java,com.puppycrawl.tools.checkstyle.checks.naming.recordtypeparametername.FooInterface2,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/api/AbstractFileSetCheck.java,com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck,class,9,17,8,9,23,3,4,19,81,0.76315796,0.2631579,0.61403507,19,0,13,0,6,0,19,1,11,0,4,0,0,4,0,0,1,0,5,85,6,1,1,0,0,2,3,16,3,10,2,0,1,0,132,1025,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/noclone/SuppressionXpathRegressionNoCloneTwo.java,org.checkstyle.suppressionxpathfilter.noclone.SuppressionXpathRegressionNoCloneTwo$InnerClass,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/api/AbstractFileSetCheck.java,com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck$FileContext,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,12,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule451wheretobreak/InputSeparatorWrapMethodRef.java,com.google.checkstyle.test.chapter4formatting.rule451wheretobreak.InputSeparatorWrapMethodRef,class,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,16,0,2,0,2,0,0,0,0,10,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule413emptyblocks/InputEmptyCatchBlockViolationsByVariableName.java,com.google.checkstyle.test.chapter4formatting.rule413emptyblocks.InputEmptyCatchBlockViolationsByVariableName,class,0,0,0,0,14,1,0,0,21,0.0,-1.0,-1.0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,7,0,0,0,0,0,0,1,0,0,0,24,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionVariableDeclarationUsageDistanceTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionVariableDeclarationUsageDistanceTest,class,6,6,0,6,3,5,0,7,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,4,28,1,0,0,0,0,54,4,9,10,9,0,0,0,0,46,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/indentation/AbstractExpressionHandler.java,com.puppycrawl.tools.checkstyle.checks.indentation.AbstractExpressionHandler,class,9,42,33,9,77,1,13,52,302,0.8424243,0.16137566,0.2777778,33,4,4,5,24,0,28,1,17,0,5,0,0,5,0,0,4,0,10,207,18,7,15,0,0,5,8,50,8,37,3,0,0,0,224,1025,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter3filestructure/toolongpackagetotestcoveragegooglesjavastylerule/InputLineLength.java,com.google.checkstyle.test.chapter3filestructure.toolongpackagetotestcoveragegooglesjavastylerule.InputLineLength,class,2,3,1,2,5,1,0,2,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,8,4,2,5,1,0,2,0,0,28,0,0,0,0,0,15,44,12,2,12,0,0,0,0,63,16,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/IllegalCatchCheck.java,com.puppycrawl.tools.checkstyle.checks.coding.IllegalCatchCheck,class,7,8,1,7,10,4,0,18,13,0.75,0.1,0.1,6,1,5,1,0,0,5,0,0,0,2,1,1,1,0,0,2,0,6,45,4,2,2,0,0,9,0,10,0,8,2,0,0,0,138,17,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilter.java,com.puppycrawl.tools.checkstyle.filters.SeverityMatchFilter,class,4,4,0,4,6,2,0,1,2,0.5,0.33333334,0.5,4,0,3,0,1,0,4,0,2,0,2,0,0,2,0,0,0,0,0,16,1,0,2,0,0,0,0,5,0,3,0,0,0,0,87,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter7javadoc/rule73wherejavadocrequired/InputMissingJavadocTypeCheckNoViolations.java,com.google.checkstyle.test.chapter7javadoc.rule73wherejavadocrequired.InputMissingJavadocTypeCheckNoViolations$Inner,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule452indentcontinuationlines/InputIndentationCorrectFieldAndParameter.java,com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.SecondFieldWithName,class,2,6,4,2,5,1,0,0,10,0.0,0.0,0.0,5,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,3,1,0,1,0,0,0,0,0,15,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/metrics/ClassFanOutComplexityCheck.java,com.puppycrawl.tools.checkstyle.checks.metrics.ClassFanOutComplexityCheck,class,3,4,1,3,4,3,0,1,6,0.75,0.0,0.0,4,0,3,0,1,0,4,0,0,0,2,2,1,1,0,0,2,0,0,16,3,0,0,0,0,1,1,2,0,2,0,0,0,0,215,17,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule412nonemptyblocks/InputRightCurlyOther.java,com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks.EnumContainer$Suit,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionNoFinalizerTest.java,org.checkstyle.suppressionxpathfilter.XpathRegressionNoFinalizerTest,class,6,6,0,6,3,5,0,6,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,19,1,0,0,0,0,24,0,8,9,8,0,0,0,0,44,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/UncommentedMainCheck.java,com.puppycrawl.tools.checkstyle.checks.UncommentedMainCheck,class,6,8,2,6,34,2,0,27,98,0.8375,0.04761905,0.04761905,16,5,7,9,0,0,7,0,0,0,5,1,1,4,0,0,1,0,9,95,9,0,7,0,0,6,4,20,1,15,2,0,0,0,167,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/sizes/OuterTypeNumberCheck.java,com.puppycrawl.tools.checkstyle.checks.sizes.OuterTypeNumberCheck,class,5,7,2,5,10,2,0,2,16,0.71875,0.21428572,0.35714287,8,0,8,0,0,0,8,0,0,0,4,1,1,3,0,0,1,0,0,36,3,0,1,0,0,1,4,5,0,4,1,0,0,0,88,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/header/AbstractHeaderCheck.java,com.puppycrawl.tools.checkstyle.checks.header.AbstractHeaderCheck,class,7,10,3,7,20,4,2,22,25,0.75000006,0.14285715,0.14285715,10,0,4,3,3,0,7,1,1,0,4,1,0,4,0,0,2,0,7,78,2,1,5,3,0,10,0,14,4,12,3,0,0,0,126,1025,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/xpath/AttributeNode.java,com.puppycrawl.tools.checkstyle.xpath.AttributeNode,class,5,7,2,5,17,2,0,1,132,0.88235295,0.016666668,0.025,17,1,15,1,1,0,16,0,0,0,2,0,0,2,0,0,2,0,11,57,5,0,0,0,0,1,0,2,0,2,0,0,0,0,104,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/com/google/checkstyle/test/chapter4formatting/rule411bracesareused/NeedBracesTest.java,com.google.checkstyle.test.chapter4formatting.rule411bracesareused.NeedBracesTest,class,5,5,0,5,2,4,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,39,14,1,0,0,0,0,80,0,6,38,6,0,0,0,0,32,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/filters/SuppressWithPlainTextCommentFilter.java,com.puppycrawl.tools.checkstyle.filters.SuppressWithPlainTextCommentFilter$SuppressionType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter7javadoc/rule72thesummaryfragment/InputCorrectSummaryJavaDocCheck.java,com.google.checkstyle.test.chapter7javadoc.rule72thesummaryfragment.InputCorrectSummaryJavaDocCheck$InnerInputCorrectJavaDocParagraphCheck,innerclass,0,0,0,0,6,1,0,0,15,1.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,2,2,2,0,0,0,2,0,0,17,1,0,0,0,0,0,3,2,0,2,0,0,0,0,48,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/com/google/checkstyle/test/chapter4formatting/rule451wheretobreak/SeparatorWrapTest.java,com.google.checkstyle.test.chapter4formatting.rule451wheretobreak.SeparatorWrapTest,class,5,5,0,5,6,4,0,5,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,10,40,1,0,0,0,0,30,0,20,5,20,0,0,0,0,36,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/api/AutomaticBean.java,com.puppycrawl.tools.checkstyle.api.AutomaticBean$UriConverter,innerclass,2,2,0,2,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,1,0,1,0,3,0,2,2,0,0,0,23,10,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/java/com/google/checkstyle/test/chapter4formatting/rule4821onevariableperline/MultipleVariableDeclarationsTest.java,com.google.checkstyle.test.chapter4formatting.rule4821onevariableperline.MultipleVariableDeclarationsTest,class,5,5,0,5,2,4,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,14,1,0,0,0,0,25,0,6,20,6,0,0,0,0,32,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/checks/naming/RecordTypeParameterNameCheck.java,com.puppycrawl.tools.checkstyle.checks.naming.RecordTypeParameterNameCheck,class,4,5,1,4,6,2,0,3,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,18,4,0,1,0,0,1,0,1,0,1,0,0,0,0,72,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/main/java/com/puppycrawl/tools/checkstyle/AuditEventDefaultFormatter.java,com.puppycrawl.tools.checkstyle.AuditEventDefaultFormatter,class,4,6,2,4,9,1,0,21,3,0.6666667,NaN,NaN,3,2,1,2,0,0,1,0,0,0,2,2,0,2,0,0,2,0,3,57,3,0,3,0,0,5,6,16,3,12,2,0,0,0,69,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule451wheretobreak/InputMethodParamPad.java,com.google.checkstyle.test.chapter4formatting.rule451wheretobreak.AssignClass3$TestEnum$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/org/checkstyle/suppressionxpathfilter/genericwhitespace/SuppressionXpathRegressionGenericWhitespaceNestedGenericsOne.java,org.checkstyle.suppressionxpathfilter.genericwhitespace.SuppressionXpathRegressionGenericWhitespaceNestedGenericsOne,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule451wheretobreak/InputMethodParamPad.java,com.google.checkstyle.test.chapter4formatting.rule451wheretobreak.AssignClass3$TestEnum$Anonymous4,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter7javadoc/rule713atclauses/InputNonEmptyAtclauseDescriptionCheckSpaceSeq.java,com.google.checkstyle.test.chapter7javadoc.rule713atclauses.InputNonEmptyAtclauseDescriptionCheckSpaceSeq,class,0,0,0,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/checkstyle-8.39/src/it/resources/com/google/checkstyle/test/chapter4formatting/rule411bracesareused/InputNeedBraces.java,com.google.checkstyle.test.chapter4formatting.rule411bracesareused.InputNeedBraces,class,1,2,1,1,30,1,0,5,28,0.0,0.0,0.0,8,0,3,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,63,1,11,0,0,0,0,11,6,0,6,2,0,0,0,25,0,0
